Country Athlete Rating
Gibraltar	Wayne Rooney	1.0
Grece	Conor McGregor	1.0
Greece	Andy Murray	0.85
Greece	Chris Paul	0.5
Greece	Conor McGregor	1.2
Greece	David Luiz	0.72619047619
Greece	Lewis Hamilton	1.0
Greece	Rafael Nadal	1.0
Greece	Tiger Woods	1.0
Greece	Tom Brady	1.0
Greece	Wayne Rooney	1.34739583333
Guam	Conor McGregor	1.0
Guatemala	Usain Bolt	1.0
Guatemala	Wayne Rooney	1.0
Haiti	Andy Murray	1.0
Haiti	Conor McGregor	1.0
Haiti	James Harden	1.0
Haiti	Lionel Messi	1.0
Haiti	Wayne Rooney	1.33333333333
Hashemite Kingdom of Jordan	Andy Murray	2.0
Hashemite Kingdom of Jordan	Rafael Nadal	1.0
Hashemite Kingdom of Jordan	Tom Brady	1.0
Hashemite Kingdom of Jordan	Wayne Rooney	0.9375
Hong Kong	Andy Murray	0.916666666667
Hong Kong	Conor McGregor	1.15
Hong Kong	Kevin Durant	0.604166666667
Hong Kong	Kyrie Irving	0.991666666667
Hong Kong	Russell Westbrook	0.5
Hong Kong	Wayne Rooney	1.5
Hungary	Rafael Nadal	1.4375
India	Aaron Rodgers	1.16666666667
India	Andy Murray	1.07803030303
India	Antoine Griezmann	1.0
India	Cam Newton	1.17244212963
India	Carmelo Anthony	1.0
India	Chris Paul	1.0
India	Conor McGregor	1.15187713974
India	Dani Alves	1.08333333333
India	Derrick Rose	0.958333333333
India	Drew Brees	1.175
India	Eli Manning	1.0
India	Felipe Massa	0.825
India	Gareth Bale	1.33833333333
India	James Harden	0.983333333333
India	Kevin Durant	1.1775
India	LeBron James	1.7
India	Lewis Hamilton	1.0
India	Lionel Messi	1.10714285714
India	Neymar	1.04722222222
India	Novak Djokovic	0.921428571429
India	Rafael Nadal	1.06373015873
India	Roger Federer	1.18132237004
India	Ronda Rousey	0.928571428571
India	Russell Westbrook	1.30555555556
India	Serena Williams	1.35
India	Suresh Raina	0.941666666667
India	Theo Walcott	1.05863636364
India	Tiger Woods	1.15892857143
India	Tom Brady	1.07162337662
India	Virat Kohli	1.23465401786
India	Wayne Rooney	1.16066319475
India	Zlatan Ibrahimovic	1.0
Indonesia	Aaron Rodgers	1.20454545455
Indonesia	Adam Scott	1.0
Indonesia	Andy Murray	1.21961451247
Indonesia	Antoine Griezmann	1.5
Indonesia	Cam Newton	1.37638888889
Indonesia	Carmelo Anthony	1.0
Indonesia	Chris Paul	0.903333333333
Indonesia	Conor McGregor	1.01911371237
Indonesia	Dani Alves	1.5
Indonesia	Derrick Rose	1.23333333333
Indonesia	Drew Brees	1.0
Indonesia	Dwight Howard	1.0
Indonesia	Gareth Bale	1.2
Indonesia	J.J. Watt	1.0
Indonesia	James Harden	2.0
Indonesia	Jimmie Johnson	1.25
Indonesia	Kevin Durant	1.4
Indonesia	Lewis Hamilton	1.0
Indonesia	Lionel Messi	1.125
Indonesia	Manny Pacquiao	1.75
Indonesia	Neymar	1.25
Indonesia	Paul Pogba	1.0
Indonesia	Rafael Nadal	1.0
Indonesia	Rickie Fowler	1.4
