index,country,image,player,rating
9567,British Virgin Islands,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.82111906132
3429,British Virgin Islands,http://a.espncdn.com/photo/2017/0510/023_01_SHARAPOVA_600X388.jpg,Maria Sharapova,2.806287511
1597,Brunei,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.97360461974
13503,Brunei,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.92747585668
12573,Brunei,http://a.espncdn.com/photo/2017/0510/035_01_WESTBROOK_600X388.jpg,Russell Westbrook,2.89608992904
6247,Brunei,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.8538756417
9037,Brunei,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.83505639735
6035,Bulgaria,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,3.34375
13477,Bulgaria,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.09228512663
1571,Bulgaria,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.08671861584
5849,Bulgaria,http://a.espncdn.com/photo/2017/0510/042_01_WAWRINKA_600X388.jpg,Stan Wawrinka,2.96118936079
14221,Bulgaria,http://a.espncdn.com/photo/2017/0522/BALE_600x388.jpg,Gareth Bale,2.94219805852
13400,Cambodia,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.01596523543
5958,Cambodia,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.92314081662
2238,Cambodia,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.92090431328
10982,Cambodia,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.89001136374
11354,Cambodia,http://a.espncdn.com/photo/2017/0510/033_01_ROSE_600X388.jpg,Derrick Rose,2.85595574724
7451,Cameroon,http://a.espncdn.com/photo/2017/0510/025_01_MCGREGOR_600X388.jpg,Conor McGregor,3.66666666667
10987,Cameroon,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,3.05716978119
7265,Cameroon,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,3.04268877438
8939,Cameroon,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,3.02076525738
5033,Cameroon,http://a.espncdn.com/photo/2017/0516/092_02_MASSAH_600.jpg,Felipe Massa,3.01901458696
9859,Canada,http://a.espncdn.com/photo/2017/0510/034_01_IRVING_600X388.jpg,Kyrie Irving,4.375
9115,Canada,http://a.espncdn.com/photo/2017/0515/079_01_WALCOTT_600.jpg,Theo Walcott,3.75
9301,Canada,http://a.espncdn.com/photo/2017/0510/041_01_ANTHONY_600X388.jpg,Carmelo Anthony,3.75
931,Canada,http://a.espncdn.com/photo/2017/0516/100_01_SALLAH_600.jpg,Mohamed Salah,3.64583333333
1489,Canada,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.6
13482,Cayman Islands,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.97315293749
